time,seconds_elapsed,relativeAltitude,pressure
1726398284624435500,-0.489564453125,0,1017.1129608154297
1726398285656101400,0.542101318359375,0,1017.1127319335938
1726398286687818200,1.573818359375,0,1017.1125030517578
1726398287719533600,2.605533447265625,0,1017.1125030517578
1726398288751225300,3.637225341796875,0.010570526123046875,1017.1112823486328
1726398288945017300,3.831017333984375,0.03699493408203125,1017.1083068847656
1726398290010009300,4.89600927734375,0.11626434326171875,1017.0989227294922
1726398291075058400,5.961058349609375,0.13211822509765625,1017.0970153808594
1726398292140079400,7.026079345703125,0.2219562530517578,1017.0856475830078
1726398293205072400,8.091072265625,0.2219562530517578,1017.0856475830078
1726398294270067500,9.1560673828125,0.1902484893798828,1017.0897674560547
