time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1726398285152701200,0.038701171875,-2.2201072304555636,0.019241209558958392,0.890251969705534,0.08137373005784251,0.43623590085648034,0.12953501208479776,-0.250021728365839
1726398285162750000,0.04875,-2.22047828172826,0.020072923906044156,0.8903192558982576,0.07938949395999279,0.4362047438318458,0.129050998513183,-0.2498978537557821
1726398285172798200,0.058798095703125,-2.2210195013535214,0.02088197594330215,0.8904199981146934,0.07746887672303102,0.43608982926343237,0.12861555547772108,-0.24984787436978712
1726398285182847000,0.068846923828125,-2.2215700685487314,0.02153434233910798,0.890513285323336,0.0760464839999838,0.4359250269234029,0.1284198753046906,-0.25009285612907245
1726398285192895200,0.078895263671875,-2.221976898265008,0.021957072047103395,0.890567327839093,0.0753190665801817,0.43576568098242907,0.12851503734062258,-0.2506553302348042
1726398285202944000,0.088944091796875,-2.2221229967725415,0.022219184605408004,0.8905614529980217,0.07507479264839603,0.435683764448693,0.12878820295071083,-0.25138812733698385
1726398285212992300,0.0989921875,-2.2221197205968113,0.022332461126237765,0.8905323387363475,0.07512082299042212,0.43565531255791795,0.12906479992109932,-0.2519896520922002
1726398285223041000,0.109041015625,-2.222080860083754,0.02237021776396923,0.8905192725708958,0.07508591398016785,0.4356710203846675,0.1290960593149873,-0.2520783564680817
1726398285233089300,0.11908935546875,-2.2220551209144523,0.022547267392117175,0.8905335483506472,0.07440583043583783,0.43575176767952134,0.12869331093762598,-0.25150453869776623
1726398285243138000,0.129137939453125,-2.2221473800334457,0.023040514641949145,0.8905856712857312,0.07275693022042612,0.43586324406965693,0.12786578820285277,-0.250445829667988
1726398285253186300,0.139186279296875,-2.22252194183657,0.023895920581767906,0.8907005746643849,0.070113983797411,0.43592297026691423,0.12669942561890216,-0.2491043603635344
1726398285263235000,0.149235107421875,-2.223208408752196,0.025274135945010063,0.8908740757985751,0.06617173222429744,0.4359296418910275,0.12517973787229333,-0.2475962841642056
1726398285273283000,0.159282958984375,-2.223875296166345,0.02717274103790781,0.891035423163554,0.060943670785589966,0.43602991339251207,0.12326958544453523,-0.245840243140947
1726398285283332000,0.16933203125,-2.2236401990607972,0.02882651868418513,0.8910347842901576,0.05603481729848284,0.4365336293258022,0.12109720598144126,-0.2433663482274676
1726398285293380000,0.179380126953125,-2.2221815774916225,0.02988723813869832,0.8908163428387185,0.052235813826798864,0.43753706684069166,0.11880383186739635,-0.24011912879333883
1726398285303429000,0.18942919921875,-2.219399300253907,0.030566635138307048,0.8903397708182934,0.049204158187902816,0.43909580282843536,0.11642814017025686,-0.2363591569483911
1726398285313477000,0.19947705078125,-2.2156233303413,0.03084769648389488,0.8896595219422953,0.047118815085663006,0.4410392353120734,0.11418736703772266,-0.23247417637133905
1726398285323526100,0.209526123046875,-2.2117782794963325,0.030043207637899184,0.8889891954960069,0.04753554815114722,0.44286114595762016,0.1125592799287164,-0.22872704550243259
1726398285333574100,0.21957421875,-2.2086869682409573,0.027784674325199505,0.8885238800966727,0.05112214413164951,0.4441696761470682,0.1116540278715622,-0.22499014932345704
1726398285343623200,0.229623046875,-2.206719391135764,0.024797099695449867,0.8883099651113415,0.05629388183025977,0.4448870675058554,0.11120282826850618,-0.22143414736468087
1726398285353672000,0.239671875,-2.205586230561743,0.022002961064895406,0.8882436790071864,0.061186338914620754,0.44523328470450385,0.11093466606375578,-0.21839900085561093
1726398285363720200,0.24972021484375,-2.2046043766141015,0.019663022826355223,0.8881708873976957,0.06530877991834608,0.4455368706062018,0.1107376858399242,-0.21590262103459962
1726398285373769000,0.25976904296875,-2.203657341546037,0.017724111914002357,0.8880811254637263,0.06865463964251456,0.445859613338818,0.11048504706914251,-0.21366635703905526
1726398285383817200,0.269817138671875,-2.2030566988864466,0.016260273255423587,0.88805942580325,0.0708119691559675,0.446101329966605,0.10990732429256579,-0.21128441963072908
1726398285393866000,0.279865966796875,-2.20309073537231,0.015418902063449268,0.8881860372725192,0.07117132883616874,0.446184902145455,0.10865909635673868,-0.20828098926174815
1726398285403914200,0.289914306640625,-2.204067196668351,0.015275882222050627,0.8885343880734748,0.06944813801883075,0.4459908763436803,0.10660833318170826,-0.204498513409138
1726398285413963000,0.299962890625,-2.2059701297998715,0.01577862920364824,0.8890941414966285,0.06587351669583467,0.4454983224140667,0.1038941649796118,-0.20013546380392253
1726398285424011300,0.31001123046875,-2.2084028327717053,0.016742427351782097,0.8897613309015836,0.06117945326851537,0.4448179351210579,0.10090389003394971,-0.19570224495704772
1726398285434060000,0.32006005859375,-2.2108967460654942,0.017782177527047246,0.8904221177642107,0.05654003894575445,0.44407819015819006,0.09811572740840449,-0.19169404443329155
1726398285444108000,0.33010791015625,-2.2131709162020226,0.018547674659756517,0.8910055197285427,0.05303985449184169,0.4433372611175454,0.09600659193847352,-0.18864749526064276
1726398285454157000,0.340156982421875,-2.2151332323425224,0.01880714406958001,0.8914827328410567,0.05144865420807144,0.44259063024900636,0.0949651492520178,-0.18705625728955894
1726398285464205000,0.350205078125,-2.216632031720846,0.018600955964169844,0.8918233904431342,0.05164926621877287,0.44191950125417245,0.09493270528134595,-0.1868520504550049
1726398285474254000,0.360254150390625,-2.2175121428168274,0.018335061905619402,0.8919977875048006,0.05254285063195499,0.44145903793126656,0.09548626724456605,-0.18763449804628637
1726398285484302000,0.370302001953125,-2.2179500512275663,0.018395596266219356,0.8920442591015822,0.05312603428725239,0.4411856383811155,0.09630091188392813,-0.1891672819589522
1726398285494351000,0.38035107421875,-2.21815959362413,0.01890894705690304,0.8920125706765341,0.05299936598084029,0.4410292335834372,0.09720738534929847,-0.19126320461139837
1726398285504399000,0.390399169921875,-2.218268168093771,0.019900039613492612,0.8919400166185802,0.051921011588468534,0.4409568729522343,0.09800010937910174,-0.19357725316606728
1726398285514448100,0.4004482421875,-2.2183543598705,0.021298303756243673,0.8918568911033606,0.049840941896784556,0.4409503177548605,0.09849104151527535,-0.1957097817150861
1726398285524497200,0.4104970703125,-2.218623083012508,0.022830508869635335,0.8918239535125365,0.047190512523415266,0.4409077733908484,0.09863628114466849,-0.1973431003358188
1726398285534545200,0.420545166015625,-2.219287625823852,0.024204261172547075,0.8918999519507852,0.04453730209565252,0.4407099150644807,0.09850607811192182,-0.19834724315139926
1726398285544594200,0.43059423828125,-2.220268001938388,0.025329120561731137,0.8920696398010115,0.04211120705524494,0.4403789762765363,0.09816616755508922,-0.19875698465117153
1726398285554642200,0.44064208984375,-2.2213698449489487,0.02608520899015019,0.8922892471178941,0.040288485154102834,0.4399771397955027,0.0977730849156544,-0.19874331159657904
1726398285564691000,0.45069091796875,-2.2223884806368863,0.02644621406179862,0.8925074331893317,0.039274626340049947,0.43957789866796343,0.09747984155688649,-0.19855538872912115
1726398285574739200,0.4607392578125,-2.223101782360931,0.026691040392566173,0.8926607777724351,0.03857552261520029,0.4392981483906965,0.09727042802849466,-0.19840884397792002
1726398285584788000,0.4707880859375,-2.2235990116932,0.026997949730249167,0.8927584554753398,0.03785619492373523,0.43910969848084414,0.09713928680309986,-0.19845405241676214
1726398285594836200,0.480836181640625,-2.2243238794974456,0.0272368830647854,0.8929003421338164,0.03737398213240397,0.43880157651273766,0.09716188713122106,-0.19872026094725193
1726398285604885000,0.490885009765625,-2.2256119457453787,0.027255831515172683,0.8931683873060531,0.037365460379504015,0.43821611691852685,0.09733448633177444,-0.19907232448482634
1726398285614933000,0.50093310546875,-2.227415587231983,0.02697891098519298,0.8935632926035846,0.03787110813516225,0.43738073029348545,0.09754405108124978,-0.1992392405793075
1726398285624982000,0.51098193359375,-2.2294422585808182,0.02636432448766443,0.8940255645095836,0.03896469675565275,0.4364253914356414,0.09775544146324196,-0.19911699395649396
1726398285635030000,0.521030029296875,-2.231441892922297,0.025488863343432394,0.8944926630070332,0.04057741837822736,0.43546023094539665,0.09801816340295723,-0.19885990064583722
1726398285645079000,0.5310791015625,-2.233191803004818,0.024519435944774626,0.8949044955857327,0.042458204168507124,0.4345910408694989,0.09836335983149888,-0.19866776941274578
1726398285655127000,0.541126953125,-2.234576313388409,0.023664817074546905,0.8952239347131625,0.044248549011112616,0.43388099230458527,0.09879906386884743,-0.19873562641811868
1726398285665176000,0.551176025390625,-2.2355656431289024,0.022998240567646593,0.8954432339045263,0.04579092392560211,0.4333512100462987,0.09929378051977983,-0.19906871005882518
1726398285675224000,0.56122412109375,-2.236155249340334,0.022413539437482456,0.8955699597034238,0.0472469091045363,0.4330005451978306,0.09981311349266783,-0.19951033393256745
1726398285685273000,0.571273193359375,-2.236321667114489,0.021872708632985363,0.8956066331082432,0.04861458669400127,0.4328456909750844,0.1002743600145376,-0.19987597782914474
1726398285695322000,0.581322021484375,-2.236034782449551,0.021431209691835654,0.895546854338024,0.0497565524513445,0.4329084205887284,0.10063172132822021,-0.20012959947702216
1726398285705370000,0.5913701171875,-2.2353180798523313,0.021091070766335998,0.8953884517658453,0.05077090296405398,0.43316648452836665,0.10100272577679516,-0.2004856110102385
1726398285715419100,0.601419189453125,-2.2342014881252594,0.020767977519541483,0.8951345503782563,0.05191582014102842,0.43358806149399126,0.1015100409766528,-0.20109234614758137
1726398285725467100,0.611467041015625,-2.232827041660073,0.020415683349766286,0.8948145914139429,0.05330851528092898,0.43410118937630426,0.10220691634164872,-0.2020085332255264
1726398285735516200,0.62151611328125,-2.231554410936018,0.019945910027703448,0.8945084328036359,0.055099520927263654,0.4345369262056365,0.10312350051105529,-0.20322004159674964
1726398285745564200,0.631564208984375,-2.23057163146536,0.019350340488662573,0.894265129862374,0.057167425584818105,0.4348251358772421,0.10412756126784536,-0.2044854151890969
1726398285755613200,0.64161328125,-2.229843096653158,0.01865823289823106,0.8940905328340985,0.05924783359720911,0.43500979977947246,0.10497793370425665,-0.20539368084693416
1726398285765661000,0.651660888671875,-2.229394759992445,0.01789433588257841,0.893998015136731,0.06116658524880174,0.4350978549218611,0.10553327438402713,-0.20571246000653057
1726398285775710200,0.661710205078125,-2.229333292875204,0.01712727057306823,0.8940077158447693,0.06277721109221666,0.4350485673439298,0.10578128380642055,-0.205483954360952
1726398285785758000,0.671758056640625,-2.2297542140515176,0.016394276009305684,0.8941282468709011,0.06414574102010495,0.43480448776902136,0.105882355328466,-0.20503499197123046
1726398285795807200,0.68180712890625,-2.230695830629296,0.015615416830552826,0.8943589785685772,0.0655913119340719,0.43432079218558756,0.10603679468010191,-0.2046598486080725
1726398285805855000,0.69185498046875,-2.2320065092947954,0.014621784412618582,0.8946595321393589,0.06764932016177391,0.4336257917742231,0.10648609993021667,-0.20464376823379618
1726398285815904300,0.701904296875,-2.233356785271252,0.013075605883120634,0.8949512241664269,0.0712748204032521,0.4328019780482851,0.10758127323649937,-0.20531778502646325
1726398285825952000,0.711951904296875,-2.234425095898468,0.01082370944672926,0.8951725735248144,0.0767209474807394,0.4319854493844246,0.10925908935722735,-0.20642575168763722
1726398285836001300,0.722001220703125,-2.2351500250800282,0.008032102095478583,0.8953308973289321,0.0832443400435633,0.43127068168449495,0.11101225128893301,-0.20719266073767184
1726398285846049000,0.732049072265625,-2.2357511209531378,0.005008965454226751,0.8954785483032991,0.08997185010721732,0.4306212968845267,0.11250926628497472,-0.20729462853909075
1726398285856098000,0.74209814453125,-2.2362945293557672,0.001988999860589746,0.8956130080556122,0.09656679178668011,0.4300119559960873,0.11385571573871626,-0.2071298069863987
1726398285866147000,0.75214697265625,-2.2365672874748044,-0.0007065557767411616,0.8956658942565621,0.10265726836186263,0.42953130929112543,0.11526096934808543,-0.20734619214809016
1726398285876195000,0.762195068359375,-2.2363354001457414,-0.002837045313928121,0.895578513249375,0.10790439396154608,0.4292874092840669,0.11680513870374115,-0.20828321969126087
1726398285886244000,0.772244140625,-2.235638233785161,-0.004458597447611513,0.8953612633365406,0.11245267971135706,0.42925131377774806,0.11853988970552463,-0.20998408369467397
1726398285896292000,0.7822919921875,-2.2347524583347114,-0.005852760021515646,0.8950763727467317,0.11686307411387202,0.42926765773951314,0.12055443571835615,-0.21237900983852417
1726398285906341400,0.79234130859375,-2.2340009175793796,-0.007465320699364123,0.8947898973833744,0.1220902298250913,0.42913103152356114,0.1230523886573528,-0.21546824263229003
1726398285916389000,0.80238916015625,-2.2450105394738413,-0.010090936567681664,0.8969714742704403,0.12834247838127336,0.42360739304881395,0.12608359965383742,-0.219393390047232
1726398285926438400,0.8124384765625,-2.2446251649828026,-0.011956930433723902,0.8966748239035897,0.13499740349550074,0.42308704632123123,0.12972537473145945,-0.2244039641746658
1726398285936486100,0.822486083984375,-2.2441307213484123,-0.01344131681572435,0.8963049608741963,0.14141096558013963,0.4225413815623888,0.1338492694985799,-0.2306193328605653
1726398285946535400,0.832535400390625,-2.2437034175738737,-0.014697393380636175,0.8959015950352698,0.1478213558217306,0.4218783690287583,0.13843014665014283,-0.23787557167448303
1726398285956583200,0.842583251953125,-2.243702922972722,-0.015984281675155053,0.8955543749868309,0.15451007159988794,0.42094027668795836,0.14330445515615267,-0.24568107796789035
1726398285966632400,0.852632568359375,-2.2442260080036025,-0.017535228936048478,0.8953168513107708,0.1615229165212063,0.41973336854009263,0.14806815445010063,-0.25310949454833725
1726398285976680200,0.86268017578125,-2.2458102272934886,-0.01945465582124857,0.8953334999985466,0.16862213686964647,0.41808559568320225,0.1523283797934998,-0.259401353749198
1726398285986729500,0.8727294921875,-2.248176361718796,-0.021450131421077285,0.8955552624081022,0.17515782252926085,0.4161840151792507,0.15592151451024341,-0.26449126924559585
1726398285996777200,0.882777099609375,-2.250569117861208,-0.022811770394947438,0.8958269500227654,0.17984943237630072,0.414453504468718,0.15875103619908,-0.26874124760794715
1726398286006826500,0.892826416015625,-2.252501045152897,-0.022930547093075973,0.8960335429004092,0.181779061666927,0.413147589479361,0.16095683020027732,-0.2728717448348657
1726398286016875300,0.902875244140625,-2.2536753090144956,-0.021283389842111998,0.8960947263164762,0.18016791875323254,0.4124247528620397,0.16268727525297927,-0.2775610109193691
1726398286026923300,0.91292333984375,-2.254059971167301,-0.01763069586202231,0.8959813311809613,0.1746603113356402,0.4123133662880073,0.16402578701511228,-0.28315806698921986
1726398286036972300,0.92297216796875,-2.2539036550203444,-0.012380752375761937,0.8957142407917202,0.16611134210356468,0.41264248940562176,0.1651332264803974,-0.2896394547102104
1726398286047020300,0.933020263671875,-2.2532240860607247,-0.0065099753346942535,0.895268055691525,0.15662197658768143,0.4132479887280924,0.16636957182990228,-0.29685085982716913
1726398286057069300,0.9430693359375,-2.251281211959413,-0.0009593281933808667,0.8944807427856201,0.14837700541937743,0.4142894877681868,0.16812939508118563,-0.30467392459700404
1726398286067117300,0.953117431640625,-2.247380499405155,0.004325804659603793,0.8932241658396944,0.14128320697429034,0.4160971915273264,0.1702791625310796,-0.3128744799820786
1726398286077166300,0.963166259765625,-2.241859511982818,0.010338525891004114,0.8915669721421995,0.132994085107561,0.41872569230909584,0.17225044164810646,-0.3213035008977062
